# catalog_name|variety_name|description|sort_order
Lily of the Valley|Gertrude Jekyll|Strong fragrance|6
Lily of the Valley|Green Tapestry|Variegated leaves|7
Lily of the Valley|Bordeaux|Large fragrant bells|8
Gladiola|Prins Claus|Pink and white bicolor|5
Gladiola|Green Star|Lime green spikes|6
Gladiola|Black Star|Deep purple-black|7
Gladiola|Atom|Red with white edge|8
Phlox|Laura|Purple garden phlox; mildew resistant|5
Phlox|Bright Eyes|White eye pink phlox|6
Phlox|Emerald Pink|Low creeping mounding|7
Phlox|Flame White|Compact white garden|8
Phlox|Purple Beauty|Creeping phlox purple|9
Phlox|Robert Poore|Magenta garden phlox|10
Daisies|Alaska|Large white Shasta|5
Daisies|Crazy Daisy|Frilly Shasta type|6
Daisies|Snow Lady|Compact white Shasta|7
Daisies|Becky Improved|Taller Shasta selection|8
Hosta|June|Blue center gold edge|5
Hosta|Frances Williams|Blue with gold margin|6
Hosta|Empress Wu|Giant blue hosta|7
Hosta|Halcyon|Steel blue slow grower|8
Hosta|Minuteman|White edged green|9
Hosta|June Spirit|Gold and green|10
Daylily|Catherine Woodbury|Large lavender-pink|5
Daylily|Hyperion|Classic yellow fragrant|6
Daylily|Stella Supreme|Double gold|7
Daylily|Autumn Minaret|Tall late yellow|8
Daylily|Frans Hals|Bicolor orange-red|9
Daylily|Chicago Star|Red rebloomer|10
Garden Peony|Coral Charm|Coral single peony|5
Garden Peony|Do Tell|Soft pink fragrant|6
Garden Peony|Krinkled White|White single|7
Garden Peony|Duchess de Nemours|White double classic|8
Foxglove|Pam's Choice|Large white spikes|5
Foxglove|Candy Mountain|Upward-facing pink|6
Foxglove|Silver Fox|Compact white|7
Foxglove|Polka Dot Purple|Spotted purple|8
Panicle Hydrangea|Little Lime|Compact green-white|5
Panicle Hydrangea|Pinky Winky|Two-tone pink-white|6
Panicle Hydrangea|Bobo|Dwarf white panicles|7
Panicle Hydrangea|Fire Light|Red aging panicles|8
Purple Coneflower|PowWow Wild Berry|Compact purple|5
Purple Coneflower|Tomahawk|Tall pink|6
Purple Coneflower|Green Jewel|Green cone form|7
Purple Coneflower|Paradiso Mix|Mixed color strain|8
Black-Eyed Susan|Prairie Sun|Green-eyed bicolor|5
Black-Eyed Susan|Rustic Colors|Mixed warm tones|6
Black-Eyed Susan|Little Goldstar|Compact gold|7
Black-Eyed Susan|Viette's Little Suzy|Dwarf black-eyed Susan|8
Lavender|Provence|Large fragrant lavender|5
Lavender|Goodwin Creek Grey|Silvery foliage|6
Lavender|Ellagance Purple|Compact deep purple|7
Lavender|Thumbelina Leigh|Dwarf English|8
Lavender|Bee-My-Honey|Sweet lavender; Munstead-type; fine culinary fragrance|9
Marigold|Bonanza|Mixed French marigold|5
Marigold|Discovery|Orange African type|6
Marigold|Lemon Gem|Signet yellow|7
Marigold|Red Gem|Signet red|8
Sunflower|Autumn Beauty|Mixed fall colors|5
Sunflower|Italian White|Pale cream petals|6
Sunflower|Sunrich Orange|Cut-flower hybrid|7
Sunflower|ProCut Orange|Single-stem cut flower|8
Basil|Osmin Purple|Dark purple basil|9
Basil|Mrs. Burns Lemon|Intense lemon basil|10
Basil|Spicy Globe|Compact globe basil|11
Basil|Red Rubin|Deep red leaves|12
Oregano|Golden|Gold variegated oregano|5
Oregano|Kent Beauty|Ornamental hop-like|6
Oregano|Compact Greek|Low dense Greek|7
Oregano|Mexican Oregano|Warm-climate bold flavor|8
Jerusalem Artichoke|Stampede|Early maturing; cold-hardy NE favorite|1
Jerusalem Artichoke|Fuseau|Smooth tubers; less knobby|2
Jerusalem Artichoke|White French|Large white tubers; classic type|3
Jerusalem Artichoke|Golden Nugget|Small golden tubers; sweet|4
Jerusalem Artichoke|Red Fuseau|Red-skinned smooth tubers|5
Jerusalem Artichoke|Waldspinel|Red tubers; Austrian heirloom|6
Jerusalem Artichoke|Beaver Valley Purple|Purple-skinned sunchoke|7
Jerusalem Artichoke|Native Wild|Local wild-type seed tubers|8
Blackberry|Chester|Thornless; late season; very hardy in NE|1
Blackberry|Triple Crown|Thornless; large sweet berries|2
Blackberry|Natchez|Thornless; early large fruit|3
Blackberry|Ouachita|Thornless; firm high-quality berries|4
Blackberry|Arapaho|Thornless; erect compact canes|5
Blackberry|Illini Hardy|Cold-hardy; good for colder NE sites|6
Blackberry|Hull|Thornless; heavy producer|7
Blackberry|Thornless Evergreen|Classic thornless trailing type|8
